id,country_id,total_cases,today_cases,deaths,today_deaths,recovered,today_recovered,active,critical,cases_per_million,deaths_per_million,tests,tests_per_million,active_per_million,recovered_per_million,critical_per_million
45,45,9109,0,161,0,8939,0,9,0,10038.0,177.0,0,0.0,9.92,9851.02,0.0
46,46,25375,0,386,0,24006,0,983,0,4377.0,67.0,347815,59991.0,169.55,4140.53,0.0
47,47,7203,0,2,0,7150,0,51,0,409937.0,114.0,19690,1120596.0,2902.51,406920.49,0.0
48,48,1238883,0,9428,0,0,0,1229455,0,239058.0,1819.0,4659757,899158.0,237238.71,0.0,0.0
49,49,1309728,0,18687,0,1258432,0,32609,0,322650.0,4604.0,5660084,1394355.0,8033.19,310013.14,0.0
50,50,1115251,0,8530,0,1106660,0,61,0,98645.0,754.0,14402674,1273936.0,5.4,97885.55,0.0
51,51,45986,0,295,0,44720,0,971,3,277812.0,1782.0,496693,3000640.0,5866.04,270164.14,18.12
52,52,681110,0,1365,0,679745,0,0,0,556741.0,1116.0,9640118,7879860.0,0.0,555625.49,0.0
53,53,4759041,0,43517,0,4715206,0,318,2,443246.0,4053.0,57834241,5386552.0,29.62,439163.72,0.19
54,54,88384,0,835,0,87497,0,52,0,3186.0,30.0,1690934,60951.0,1.87,3153.92,0.0
55,55,99338,0,1468,0,84489,0,13381,0,1043.0,15.0,846704,8890.0,140.5,887.11,0.0
56,56,3183756,0,8814,0,3174942,0,0,0,545636.0,1511.0,129333107,22165247.0,0.0,544124.97,0.0
57,57,712,0,13,0,699,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
58,58,15690,0,189,0,15427,0,74,0,15441.0,186.0,305941,301094.0,72.83,15182.61,0.0
59,59,16038,0,74,0,15964,0,0,0,221691.0,1023.0,229344,3170187.0,0.0,220667.92,0.0
60,60,675890,0,4384,0,671316,0,190,4,61131.0,397.0,3740928,338350.0,17.18,60717.58,0.36
61,61,1070188,0,36043,0,1034145,0,0,0,59083.0,1990.0,3082403,170173.0,0.0,57092.94,0.0
62,62,516023,0,24613,0,442182,0,49228,122,4861.0,232.0,3693367,34792.0,463.73,4165.37,1.15
63,63,201855,0,4230,0,179410,0,18215,0,30816.0,646.0,2610114,398467.0,2780.75,27389.21,0.0
64,64,17229,0,183,0,16907,0,139,5,11512.0,122.0,365697,244342.0,92.87,11296.47,3.34
65,65,10189,0,103,0,10086,0,0,0,2782.0,28.0,23693,6470.0,0.0,2754.05,0.0
66,66,628070,0,3001,0,0,0,625069,0,475123.0,2270.0,6968103,5271239.0,472852.92,0.0,0.0
67,67,501157,0,7574,0,488171,0,5412,0,4148.0,63.0,5565340,46066.0,44.8,4040.73,0.0
68,68,1930,0,0,0,1930,0,0,0,545352.0,0.0,8632,2439107.0,0.0,545351.79,0.0
69,69,34658,0,28,0,0,0,34630,0,703959.0,569.0,778000,15802409.0,703390.0,0.0,0.0
70,70,69117,0,885,0,67226,0,1006,0,75997.0,973.0,672883,739866.0,1106.14,73918.1,0.0
71,71,1516117,0,11958,0,1503989,14,170,0,272930.0,2153.0,12108977,2179850.0,30.6,270747.04,0.0
72,72,40138560,0,167642,0,39970918,0,0,0,612013.0,2556.0,271490188,4139547.0,0.0,609456.61,0.0
73,73,98041,0,420,0,11254,0,86367,6,312065.0,1337.0,651257,2072951.0,274906.18,35821.48,19.1
74,74,79254,0,650,0,0,0,78604,0,278902.0,2287.0,0,0.0,276614.91,0.0,0.0
75,75,49051,0,307,0,48674,0,70,0,21038.0,132.0,1621909,695641.0,30.02,20876.39,0.0
76,76,12626,0,372,0,12189,0,65,0,4935.0,145.0,155686,60851.0,25.41,4764.15,0.0
77,77,1861665,0,17132,0,0,0,1844533,0,469082.0,4317.0,16920079,4263340.0,464765.63,0.0,0.0
78,78,38828995,0,183027,0,38240600,0,405368,0,462891.0,2182.0,122332384,1458359.0,4832.51,455876.98,0.0
79,79,171889,0,1462,0,170425,0,2,0,5306.0,45.0,2541625,78456.0,0.06,5260.77,0.0
80,80,20550,0,113,0,0,0,20437,0,609720.0,3353.0,534283,15852213.0,606367.2,0.0,0.0
81,81,6101379,0,37869,0,0,0,6063510,0,591412.0,3671.0,102228365,9909078.0,587740.95,0.0,0.0
82,82,11971,0,21,0,2761,0,9189,4,210117.0,369.0,164926,2894810.0,161286.93,48461.55,70.21
83,83,19693,0,238,0,19358,0,97,4,173545.0,2097.0,182981,1612523.0,854.81,170592.64,35.25
84,84,203235,0,1021,0,0,0,202214,0,508349.0,2554.0,938039,2346306.0,505795.48,0.0,0.0
85,85,1291293,0,20289,0,1269891,0,1113,5,69484.0,1092.0,7593848,408622.0,59.89,68332.35,0.27
86,86,38572,0,468,0,37757,0,347,0,2782.0,34.0,660107,47607.0,25.03,2723.05,0.0
87,87,9614,0,177,0,8929,0,508,6,4659.0,86.0,145231,70385.0,246.2,4327.39,2.91
88,88,74137,0,1300,0,72013,0,824,0,93366.0,1637.0,733218,923396.0,1037.72,90691.33,0.0
89,89,34667,0,860,0,33734,0,73,0,2968.0,74.0,132422,11337.0,6.25,2888.11,0.0
